threshold,recall,precision,f1,false_positives,false_negatives,business_label
0.1,0.9977844914400805,0.08234844329194302,0.15214053190835944,55205,11,Very aggressive screening
0.15,0.9879154078549849,0.08598776361692057,0.15820539285253515,52138,60,Very aggressive screening
0.2,0.9720040281973816,0.09193256500619107,0.16797772363383223,47669,139,Very aggressive screening
0.25,0.9458207452165156,0.09962238533667105,0.1802583344529106,42442,269,Very aggressive screening
0.3,0.9083585095669687,0.10908739085213942,0.19478275891854538,36833,455,Broad manual review queue
0.35,0.8672708962739174,0.12095845388915419,0.21230647865102062,31293,659,Broad manual review queue
0.4,0.8078549848942598,0.13288497217068646,0.22822839910097015,26173,954,Broad manual review queue
0.45,0.748036253776435,0.14750973071729287,0.24642537239160003,21464,1251,Broad manual review queue
0.5,0.6777442094662638,0.1625918051797449,0.26226569502357666,17331,1600,Broad manual review queue
0.55,0.6010070493454179,0.17985654873123982,0.276860270922249,13607,1981,Broad manual review queue
0.6,0.521852970795569,0.20096176219654077,0.2901780714525703,10302,2374,Balanced risk screening
0.65,0.43967774420946626,0.22818020278039092,0.30044040737682354,7384,2782,Balanced risk screening
0.7,0.35065458207452166,0.25644424804831345,0.29623957801599454,5048,3224,Balanced risk screening
0.75,0.2636455186304129,0.2940912154572006,0.2780373831775701,3142,3656,Balanced risk screening
0.8,0.1772406847935549,0.3413498836307215,0.23332891422510937,1698,4085,Balanced risk screening
0.85,0.094662638469285,0.4023972602739726,0.15326919941301156,698,4495,Balanced risk screening
0.9,0.02678751258811682,0.48188405797101447,0.05075367296317497,143,4832,Balanced risk screening
